epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7896490693092346,0.6514368057250977,0.001,0.3253012001514435,7.355913162231445
1,0.911277711391449,0.3372727036476135,0.001,0.7710843086242676,1.0251845121383667
2,0.9460585117340088,0.2519005835056305,0.001,0.8875501751899719,0.45007434487342834
3,0.958658754825592,0.2314394861459732,0.001,0.8955823183059692,0.5071690082550049
4,0.9719879031181335,0.2028440535068512,0.001,0.9558233022689819,0.2667524516582489
5,0.9654274582862854,0.23446062207221985,0.001,0.9277108311653137,0.3768937885761261
6,0.965010941028595,0.261032372713089,0.001,0.9116466045379639,0.4717760682106018
7,0.9804227948188782,0.2238573282957077,0.001,0.8995984196662903,0.4398137629032135
8,0.9789649248123169,0.23498846590518951,0.001,0.9277108311653137,0.4282943606376648
9,0.9832344055175781,0.23796811699867249,0.001,0.9236947894096375,0.4510635435581207
10,0.9886493682861328,0.2082025110721588,0.0005,0.9598393440246582,0.317984402179718
11,0.9925023317337036,0.18669399619102478,0.0005,0.9518072009086609,0.32171303033828735
12,0.9919816851615906,0.1744747906923294,0.0005,0.9518072009086609,0.2854650914669037
13,0.9900031089782715,0.17014451324939728,0.0005,0.9397590160369873,0.3291797637939453
14,0.9868791103363037,0.1871437132358551,0.0005,0.9437751173973083,0.32533714175224304
